feature,coefficient,abs_coefficient
Gr Liv Area,16408.7658771054,16408.7658771054
Roof Matl_ClyTile,-13996.104109127418,13996.104109127418
2nd Flr SF,13783.169972365817,13783.169972365817
Misc Feature_Elev,-11142.62622215905,11142.62622215905
Year Built,10848.595043238067,10848.595043238067
Total Bsmt SF,10475.900516766493,10475.900516766493
Garage Yr Blt,9857.379113141596,9857.379113141596
BsmtFin SF 1,9224.54451225341,9224.54451225341
Overall Qual,8986.028148335437,8986.028148335437
Overall Cond,6648.243468490891,6648.243468490891
1st Flr SF,6278.034106223313,6278.034106223313
Lot Area,5634.86588504618,5634.86588504618
Kitchen Qual_Ex,5341.146111681161,5341.146111681161
Neighborhood_StoneBr,5206.450161081758,5206.450161081758
Neighborhood_NoRidge,4767.111834586296,4767.111834586296
Neighborhood_NridgHt,4397.015807516839,4397.015807516839
Garage Type_None,4136.326427945945,4136.326427945945
Garage Finish_None,3985.098266901518,3985.098266901518
Pool QC_Ex,3974.0711370889153,3974.0711370889153
Fireplaces,3826.0635040814304,3826.0635040814304
Exterior 1st_BrkFace,3693.331061280277,3693.331061280277
Garage Cars,3530.6386495890188,3530.6386495890188
BsmtFin Type 2_None,-3458.2332925608816,3458.2332925608816
Bsmt Qual_Ex,3311.678613372551,3311.678613372551
Order,3232.4225728384604,3232.4225728384604
Bsmt Exposure_Gd,3205.8509777219792,3205.8509777219792
Mas Vnr Area,3199.785706408448,3199.785706408448
Neighborhood_GrnHill,3127.7048389578863,3127.7048389578863
Exterior 2nd_VinylSd,3108.1908940142234,3108.1908940142234
Bedroom AbvGr,-3068.4043274425817,3068.4043274425817
Exter Qual_Ex,2994.274471830047,2994.274471830047
Roof Matl_WdShngl,2987.227158848301,2987.227158848301
Exterior 1st_VinylSd,-2957.409485232875,2957.409485232875
MS SubClass,-2924.93808224409,2924.93808224409
Sale Type_New,2712.867659037928,2712.867659037928
Garage Qual_Ex,2632.423705230128,2632.423705230128
Screen Porch,2620.846714193494,2620.846714193494
Neighborhood_Mitchel,-2546.1251995589423,2546.1251995589423
Land Slope_Sev,-2537.636070998663,2537.636070998663
Bldg Type_1Fam,2530.2369107608556,2530.2369107608556
Garage Cond_Ex,-2449.255345425389,2449.255345425389
Kitchen AbvGr,-2434.419732792965,2434.419732792965
Bldg Type_Twnhs,-2406.5874651347617,2406.5874651347617
Garage Area,2354.084526678919,2354.084526678919
