x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
382,983,101,927,641,649,502,1177,1262,270
1566,804,96,1131,349,533,508,754,1140,472
62,847,93,709,962,581,499,443,691,-70
457,604,108,654,951,561,508,1026,750,164
191,910,97,739,617,1043,507,748,820,415
648,502,91,1290,733,530,501,701,1171,374
-23,1193,97,1104,631,668,505,444,1227,719
433,1257,107,830,445,780,506,545,649,710
1243,994,99,916,333,197,516,834,655,812
1134,1348,102,928,575,796,499,525,1502,78
776,1241,105,932,812,581,515,849,911,692
711,1258,107,718,210,238,516,779,498,850
485,1059,117,1353,540,503,499,901,671,300
-87,710,107,742,658,685,507,841,1421,662
419,482,111,717,499,305,512,677,1207,743
-165,833,104,864,321,635,504,892,1047,556
1195,559,115,852,490,416,506,718,1232,1509
479,1474,108,1353,533,639,505,1279,787,204
718,894,116,698,268,565,509,835,735,651
528,1110,107,183,151,715,514,1036,1312,908
510,812,104,1226,747,448,508,970,510,-71
380,467,100,309,540,480,511,685,833,8
582,956,113,878,362,399,511,1051,404,1323
714,1445,113,754,430,750,504,541,596,1084
1077,632,115,1096,382,621,520,660,223,704
538,1117,107,1019,741,488,527,860,657,741
691,598,98,345,283,851,519,798,1552,466
380,734,111,965,329,276,531,888,614,682
303,965,117,436,601,969,530,728,1071,927
810,786,106,719,490,903,522,839,1187,469
387,386,107,920,585,137,532,699,1084,1435
1473,737,113,980,608,812,541,938,1224,624
924,1069,115,841,742,411,531,849,-199,658
1043,1115,104,669,565,764,542,1023,428,194
821,860,105,355,348,226,539,1056,601,1025
280,670,107,705,843,1041,549,617,1400,876
1236,1020,104,1124,945,438,546,645,1460,1203
837,681,112,978,304,234,552,418,1433,719
644,792,108,565,658,625,549,773,455,42
711,425,107,1024,504,770,559,856,589,836
593,654,100,504,664,863,562,557,907,332
710,786,107,787,834,300,566,821,777,834
944,885,110,1399,585,378,559,975,642,106
555,590,107,289,816,877,569,1120,735,769
824,1030,98,628,450,867,574,974,1176,480
955,748,103,367,492,573,569,693,1178,928
813,1051,117,733,715,186,570,939,1111,562
459,976,107,1158,495,1087,571,1161,546,564
890,600,116,1126,622,471,566,822,563,648
627,691,98,960,633,929,571,728,1153,-240
174,381,113,650,803,652,562,926,1592,271
86,738,100,645,562,718,577,852,934,349
673,437,101,1036,309,255,569,801,984,435
604,614,107,733,829,446,578,675,1041,642
723,964,111,768,754,563,570,1064,895,407
1315,894,105,1175,672,855,585,1056,995,297
257,782,106,722,681,543,569,606,1053,607
541,556,107,405,283,610,579,917,791,738
720,904,106,1542,437,-60,572,389,1358,461
684,1131,98,577,381,87,585,974,953,314
767,392,98,1403,424,443,582,844,1073,87
620,818,113,777,602,472,575,851,817,282
745,827,107,830,624,613,584,950,1168,669
647,1089,104,445,459,984,577,990,1199,496
10,1230,116,876,960,535,590,1152,1441,833
37,907,98,834,456,421,574,1171,984,116
38,715,107,1203,872,554,585,886,1452,538
674,686,98,449,733,670,577,835,1387,860
440,1322,112,913,500,283,583,513,1036,366
1038,791,116,611,754,694,594,563,1241,1058
754,1122,113,1139,763,396,590,926,1709,763
702,1013,109,707,698,474,580,838,1256,-54
93,80,107,1017,436,512,590,686,659,282
1229,1086,116,592,626,555,589,688,1353,3
434,487,107,1358,764,278,597,1155,865,981
747,764,100,884,593,773,595,880,1145,444
529,962,104,688,663,685,582,750,1382,286
1661,738,107,961,263,824,592,678,1236,1117
590,656,111,814,720,518,602,1113,1147,216
304,1117,111,603,505,911,589,950,594,574
1091,1031,109,915,507,146,602,843,1029,-154
573,617,112,411,517,588,590,815,810,92
1129,1276,107,1040,637,1024,599,941,516,124
1114,1182,99,959,771,1216,609,913,754,677
257,971,106,1128,356,812,609,868,1488,563
786,765,108,620,679,318,619,914,1447,388
1583,896,100,880,571,541,615,988,667,739
1236,925,98,568,421,430,620,991,1287,645
777,463,98,449,396,804,609,1003,700,481
1052,724,107,539,573,946,627,1257,1011,755
200,1127,102,662,246,226,618,1118,1286,-154
1179,1011,111,488,654,279,610,671,1896,671
1033,765,112,1,313,873,618,1337,208,642
996,999,102,1030,578,631,614,897,521,93
1418,723,112,728,440,460,609,887,521,291
1744,1048,102,303,474,405,617,735,1626,188
697,926,101,1089,390,283,611,927,1031,37
685,660,112,895,328,478,608,970,652,184
659,468,92,1111,355,1189,626,972,986,394
430,616,108,527,834,830,616,939,1349,573
306,526,100,1088,692,870,609,739,669,-10
683,674,109,1288,694,423,617,751,520,843
946,371,90,635,866,669,610,808,1059,1073
899,835,97,942,550,879,604,721,1315,524
560,598,90,514,666,833,613,1113,649,407
612,687,94,356,386,788,619,1150,1005,61
757,738,101,442,400,312,612,746,833,-312
822,836,98,676,673,626,602,819,956,471
434,577,95,375,851,847,598,1010,1100,620
166,1359,101,871,523,874,593,615,1613,354
1042,504,93,993,240,373,586,836,1034,321
994,880,102,848,747,481,586,854,1061,685
660,885,96,1532,473,510,592,661,914,157
21,1126,85,397,532,531,584,587,1513,162
755,1451,88,1135,675,457,574,473,876,137
884,806,83,1171,288,409,573,1035,1126,738
-39,1200,84,1147,533,974,564,514,1261,917
166,769,81,928,311,463,577,1043,281,268
188,965,80,600,411,746,568,883,735,857
1162,785,98,844,168,294,581,1050,752,422
286,1015,87,694,404,352,574,1120,793,934
1377,656,79,825,206,1014,566,844,782,993
-201,927,84,1514,801,562,580,877,586,645
936,799,96,800,523,482,564,690,1801,919
917,453,85,726,313,675,584,809,868,233
1123,1025,87,1050,720,736,573,1127,841,994
1514,854,77,1139,599,806,574,955,423,749
600,734,91,1175,300,898,580,1055,856,-284
430,856,94,913,692,585,563,668,899,468
706,823,93,363,529,604,572,1149,603,596
423,457,92,500,468,254,569,856,1184,674
1038,837,86,964,367,670,560,1186,702,280
827,972,78,711,505,647,565,508,1294,539
401,1032,79,832,544,504,565,918,1498,433
65,1197,83,1224,-67,658,553,790,764,1071
809,675,88,1069,400,731,544,1211,1450,603
798,1139,97,1126,360,-50,537,777,134,487
966,900,94,343,597,198,551,987,896,-167
635,760,81,887,471,956,551,985,680,1056
650,1010,78,676,284,646,552,632,588,418
390,1105,83,982,274,175,542,917,543,635
1017,1082,91,1111,252,949,535,975,1144,184
968,1096,87,927,508,77,543,817,1261,731
623,990,95,907,371,708,539,941,776,522
441,979,82,649,414,911,544,876,673,478
789,256,98,1165,656,658,532,700,1160,405
693,832,94,657,626,726,522,944,635,642
1042,882,93,1128,551,986,518,921,452,252
1103,496,85,1063,223,534,522,784,603,1122
765,1441,99,1185,790,664,521,1008,393,403
795,1092,98,853,611,466,511,804,1195,589
871,623,89,1114,400,692,520,897,939,563
941,1012,107,988,842,833,501,543,1506,78
195,1003,108,548,702,312,514,557,1315,928
1276,926,96,512,423,619,513,1021,222,428
1186,1062,106,891,261,328,501,1012,900,1416
1265,944,99,684,253,673,512,1039,790,378
55,1173,104,820,501,871,503,1005,578,568
